sent_id	left_context	pivot	right_context
dev-s629	Aber Birkut wurde bei den Arbeiterunruhen 1970 in 	Danzig	 erschossen. 
dev-s629	Aber 	Birkut	 wurde bei den Arbeiterunruhen 1970 in Danzig erschossen. 
dev-s635	Euro Disney ist im ersten Halbjahr des laufenden Geschäftjahres per Ende 	September	 tiefer in die roten Zahlen gerutscht. 
dev-s635	Euro 	Disney	 ist im ersten Halbjahr des laufenden Geschäftjahres per Ende September tiefer in die roten Zahlen gerutscht. 
dev-s635		Euro	 Disney ist im ersten Halbjahr des laufenden Geschäftjahres per Ende September tiefer in die roten Zahlen gerutscht. 
dev-s636	``Früher hatten die Pensionäre Tränen in den Augen, wenn sie gehen mußten, heute stöhnt, wer dabei bleiben soll'', berichtet Ewald Grom, Betriebsrats-Vize im Werk 	Höchst	. 
dev-s636	``Früher hatten die Pensionäre Tränen in den Augen, wenn sie gehen mußten, heute stöhnt, wer dabei bleiben soll'', berichtet 	Ewald	 Grom, Betriebsrats-Vize im Werk Höchst. 
dev-s639	``Die Welt nach Krupp / Thyssen ist nicht mehr die, die sie davor war'', meint 	Breuer	. 
dev-s639	``Die Welt nach Krupp / 	Thyssen	 ist nicht mehr die, die sie davor war'', meint Breuer. 
dev-s639	``Die Welt nach 	Krupp	 / Thyssen ist nicht mehr die, die sie davor war'', meint Breuer. 
dev-s640	Weitere Kernpunkte der Dubliner Vereinbarungen sind die Einführung eines ``Frühwarnsystems'' für finanzpolitische Fehlentwicklungen, die Präzisierung und Straffung der Abläufe bei übermäßigen Defiziten unter anderem durch Selbstbindungen der Länder und 	EU	-Gremien sowie klare Terminvorgaben. 
dev-s643	Das Kölner Unternehmen 	Gastro	 Unlimited hat das Modell entwickelt und liefert Betreiberkonzepte für die Bank-Cafés beziehungsweise bietet sich auch selbst als deren Betreiber an. 
dev-s644	Seit Ende letzten Jahres kommen täglich eine Handvoll Ermittler des niedersächsischen Landeskriminalamtes (LKA) aus Hannover nach 	Göttingen	, um die autonome Szene wegen des Verdachts der Gründung, Mitgliedschaft oder Unterstützung einer terroristischen Vereinigung nach Paragraph 129 a Strafgesetzbuch auszuforschen. 
dev-s644	Seit Ende letzten Jahres kommen täglich eine Handvoll Ermittler des niedersächsischen Landeskriminalamtes (LKA) aus 	Hannover	 nach Göttingen, um die autonome Szene wegen des Verdachts der Gründung, Mitgliedschaft oder Unterstützung einer terroristischen Vereinigung nach Paragraph 129 a Strafgesetzbuch auszuforschen. 
dev-s644	Seit Ende letzten Jahres kommen täglich eine Handvoll Ermittler des niedersächsischen Landeskriminalamtes (	LKA	) aus Hannover nach Göttingen, um die autonome Szene wegen des Verdachts der Gründung, Mitgliedschaft oder Unterstützung einer terroristischen Vereinigung nach Paragraph 129 a Strafgesetzbuch auszuforschen. 
dev-s647	Vor kurzem hatte er auch Militäraktionen zum Schutz von 	Russen	 für möglich erklärt. 
dev-s648	Die Konjunktur in Westeuropa springt nach Ansicht des Münchner 	Ifo	-Instituts für Wirtschaftsforschung im nächsten Jahr an. 
dev-s648	Die Konjunktur in 	Westeuropa	 springt nach Ansicht des Münchner Ifo-Instituts für Wirtschaftsforschung im nächsten Jahr an. 
dev-s650	In 	Deutschland	 liegen mehrere Haftbefehle gegen den ehemaligen Staats- und Parteichef vor, unter anderem wegen seiner Verantwortung für die Todesschüsse an der ehemaligen innerdeutschen Grenze. 
dev-s651	Langfristiges Ziel sei eine Umwandlung des Zahlungsaufschubs für 	Rußland	 in eine reguläre Umschuldung, ähnlich wie bei anderen Schuldnerländern, hieß es in den deutschen Regierungskreisen. 
dev-s652	Der US-Bürger 	Milan	 Panic, 62 Jahre alt, bis vorige Woche noch Chef der kalifornischen ICN Pharmaceuticals Inc, ist im Laufe seiner sprichwörtlichen Schuhputzerkarriere mehrfach mit ``Wachhunden'' der Wall Street, Aktionären, Buchprüfern und Wissenschaftlern in Konflikt gekommen. 
dev-s652	Der 	US	-Bürger Milan Panic, 62 Jahre alt, bis vorige Woche noch Chef der kalifornischen ICN Pharmaceuticals Inc, ist im Laufe seiner sprichwörtlichen Schuhputzerkarriere mehrfach mit ``Wachhunden'' der Wall Street, Aktionären, Buchprüfern und Wissenschaftlern in Konflikt gekommen. 
dev-s653	Frau Mitterrand und der sie begleitende französische Gesundheitsminister 	Bernard	 Kouchner blieben unverletzt. 
dev-s653	Frau 	Mitterrand	 und der sie begleitende französische Gesundheitsminister Bernard Kouchner blieben unverletzt. 
dev-s654	Bürgermeister Christian Ude (SPD,) Bayerns 	Jusos	, die Grünen und Gipfelgegner kritisierten das Polizeivorgehen und den ``Münchner Kessel'' als ``völlig unangemessen'' und zum Teil ``brutal''. 
dev-s654	Bürgermeister Christian Ude (SPD,) 	Bayerns	 Jusos, die Grünen und Gipfelgegner kritisierten das Polizeivorgehen und den ``Münchner Kessel'' als ``völlig unangemessen'' und zum Teil ``brutal''. 
dev-s654	Bürgermeister Christian Ude (	SPD	,) Bayerns Jusos, die Grünen und Gipfelgegner kritisierten das Polizeivorgehen und den ``Münchner Kessel'' als ``völlig unangemessen'' und zum Teil ``brutal''. 
dev-s654	Bürgermeister 	Christian	 Ude (SPD,) Bayerns Jusos, die Grünen und Gipfelgegner kritisierten das Polizeivorgehen und den ``Münchner Kessel'' als ``völlig unangemessen'' und zum Teil ``brutal''. 
dev-s656	Staatspräsident 	Lech	 Walesa teilte am Samstag über einen Sprecher mit, er habe ``keine Einwände'' gegen die Kandidatur. 
dev-s658	``Das ist nicht unsere Sache'', sagte Konzernchef Cor Herkströter in einem Gespräch mit der Amsterdamer Tageszeitung 	De	 Volkskrant. 
dev-s658	``Das ist nicht unsere Sache'', sagte Konzernchef 	Cor	 Herkströter in einem Gespräch mit der Amsterdamer Tageszeitung De Volkskrant. 
dev-s659	Die Verweigerung der Verlängerung von Pachtverträgen ist Teil der Protestaktion der Bevölkerung Okinawas, die nach dem Vergewaltigungsfall zumindest eine deutliche Reduzierung der dort stationierten rund 30 000 	US	-Soldaten fordert. 
dev-s659	Die Verweigerung der Verlängerung von Pachtverträgen ist Teil der Protestaktion der Bevölkerung 	Okinawas	, die nach dem Vergewaltigungsfall zumindest eine deutliche Reduzierung der dort stationierten rund 30 000 US-Soldaten fordert. 
dev-s662	``Wir haben genug aufwieglerische Worte von der Rechten zu hören bekommen'', versuchte 	Uri	 Dromi eine Erklärung. 
dev-s663	``Ich traf ihn vor kurzem auf einer Demo in 	Jerusalem	. 
dev-s664	``Diese Platte war Freddies letzter Wille, danach wird es Queen nicht mehr geben'', versichert Brian May, ``	Freddie	 wollte damals, daß wir jedesmal ins Studio gingen, wenn er sich einigermaßen gut fühlte. 
dev-s664	``Diese Platte war Freddies letzter Wille, danach wird es Queen nicht mehr geben'', versichert 	Brian	 May, ``Freddie wollte damals, daß wir jedesmal ins Studio gingen, wenn er sich einigermaßen gut fühlte. 
dev-s664	``Diese Platte war Freddies letzter Wille, danach wird es 	Queen	 nicht mehr geben'', versichert Brian May, ``Freddie wollte damals, daß wir jedesmal ins Studio gingen, wenn er sich einigermaßen gut fühlte. 
dev-s664	``Diese Platte war 	Freddies	 letzter Wille, danach wird es Queen nicht mehr geben'', versichert Brian May, ``Freddie wollte damals, daß wir jedesmal ins Studio gingen, wenn er sich einigermaßen gut fühlte. 
dev-s665	``Unter Klimaaspekten gibt dies keinen Anlaß zur Freude'', räumt der 	ABB	-Mann ein. 
dev-s667	Doch 	Berlin	 braucht gerade wegen der anstehenden schweren Aufgaben eine handlungsfähige Regierung. 
dev-s668	Seit 1992 können Ausländer, die seit mindestens fünf Jahren in 	Holland	 wohnen, einen Paß bekommen, ohne ihre alte Staatsbürgerschaft aufzugeben. 
dev-s669	Die Christen dürften sich nicht darauf beschränken, ethische Grundsätze zu formulieren, sondern ``müssen die Last der politischen Verantwortung übernehmen'', verlangte 	Günter	 Brakelmann, Sozialethiker an der Universität Bochum. 
dev-s671	Der Prozeß gegen 	Krenz	 und seine Genossen wird der vermutlich längste, sicherlich auch das bedeutendste Verfahren zur strafrechtlichen Verfolgung der Verantwortlichen für Todesschüsse und Minenverlegung sein. 
dev-s672	Willi 	Merkel	 sieht sich als Pionier. 
dev-s672		Willi	 Merkel sieht sich als Pionier. 
dev-s674	``Es gab bereits ähnliche Fälle in 	Afrika	. 
dev-s675	Die Kampfflugzeuge flogen am Dienstag laut UN Aufklärungseinsätze über 	Ostslawonien	. 
dev-s675	Die Kampfflugzeuge flogen am Dienstag laut 	UN	 Aufklärungseinsätze über Ostslawonien. 
dev-s679	Der Unternehmer und seine Frau tauchten damals unter und wurden erst im Mai in 	Miami	 entdeckt. 
dev-s680	``Um die 600 Gulden muß man als Anfänger schon investieren'', sagt 	Theo	. 
dev-s681	Der Präsident Nelson Mandela äußerte zurückhaltende Kritik und setzte auf Gespräche mit der Junta in 	Lagos	. 
dev-s681	Der Präsident 	Nelson	 Mandela äußerte zurückhaltende Kritik und setzte auf Gespräche mit der Junta in Lagos. 
dev-s684	Bundeswirtschaftsminister Günter Rexrodt (	FDP	) kündigte am Donnerstag im Bundestag ``ein umfassendes Maßnahmenpaket für Wachstum und Beschäftigung'' an, das soziale Kürzungen vorsieht und Anfang 1996 mit dem Jahreswirtschaftsbericht vorgelegt werden soll. 
dev-s684	Bundeswirtschaftsminister 	Günter	 Rexrodt (FDP) kündigte am Donnerstag im Bundestag ``ein umfassendes Maßnahmenpaket für Wachstum und Beschäftigung'' an, das soziale Kürzungen vorsieht und Anfang 1996 mit dem Jahreswirtschaftsbericht vorgelegt werden soll. 
dev-s685	Auch 	Greenpeace	 Deutschland würde gerne für seine Rettung mitstreiten, sucht aber noch nach einem tragenden Bild für eine Kampagne. 
dev-s687	``Wir wissen immer noch nichts über die Herkunft des Virus''', gibt 	Murray	 zu. 
dev-s689	Heinz Schleußer (SPD) ist seit 1988 Finanzminister in 	Nordhein	-Westfalen. 
dev-s689	Heinz Schleußer (	SPD	) ist seit 1988 Finanzminister in Nordhein-Westfalen. 
dev-s689	Heinz 	Schleußer	 (SPD) ist seit 1988 Finanzminister in Nordhein-Westfalen. 
dev-s689		Heinz	 Schleußer (SPD) ist seit 1988 Finanzminister in Nordhein-Westfalen. 
dev-s690	Zwischen 1988 und 1990 war Peres Finanzminister in 	Schamirs	 neuer Regierung, kündigte dann jedoch die Koalition auf und ging in die Opposition. 
dev-s690	Zwischen 1988 und 1990 war 	Peres	 Finanzminister in Schamirs neuer Regierung, kündigte dann jedoch die Koalition auf und ging in die Opposition. 
dev-s692	``Das größte Problem ist, die US-Zulieferer daran zu gewöhnen, uns BMW-Qualität und nicht 	US	-Qualität zu liefern. 
dev-s692	``Das größte Problem ist, die US-Zulieferer daran zu gewöhnen, uns 	BMW	-Qualität und nicht US-Qualität zu liefern. 
dev-s692	``Das größte Problem ist, die 	US	-Zulieferer daran zu gewöhnen, uns BMW-Qualität und nicht US-Qualität zu liefern. 
dev-s695	Die Stromwirtschaft und die Atomindustrie Deutschlands und Frankreichs haben am Montag in Straßburg ihr gemeinsames Projekt für einen Europäischen Druckwasserreaktor (	EPR	) offiziell vorgestellt. 
dev-s695	Die Stromwirtschaft und die Atomindustrie Deutschlands und Frankreichs haben am Montag in 	Straßburg	 ihr gemeinsames Projekt für einen Europäischen Druckwasserreaktor (EPR) offiziell vorgestellt. 
dev-s695	Die Stromwirtschaft und die Atomindustrie Deutschlands und 	Frankreichs	 haben am Montag in Straßburg ihr gemeinsames Projekt für einen Europäischen Druckwasserreaktor (EPR) offiziell vorgestellt. 
dev-s695	Die Stromwirtschaft und die Atomindustrie 	Deutschlands	 und Frankreichs haben am Montag in Straßburg ihr gemeinsames Projekt für einen Europäischen Druckwasserreaktor (EPR) offiziell vorgestellt. 
dev-s697	Ein 	Auwald	 ist also ein Wasserwald, sein Herz ist der Fluß. 
dev-s704	Helmut 	Kohl	 bewegt sich derweil schon im Marschschritt auf die zivile Seite der Division zu. 
dev-s704		Helmut	 Kohl bewegt sich derweil schon im Marschschritt auf die zivile Seite der Division zu. 
dev-s705	``Wer an deutschen Universitäten abgewiesen wird, wendet sich möglicherweise an eine dieser in Deutschland nicht anerkannten Hochschulen, die auch keinen anerkannten Abschluß verleihen kann'', befürchtet Werner Becker, 	HRK	-Informationsreferent. 
dev-s705	``Wer an deutschen Universitäten abgewiesen wird, wendet sich möglicherweise an eine dieser in Deutschland nicht anerkannten Hochschulen, die auch keinen anerkannten Abschluß verleihen kann'', befürchtet 	Werner	 Becker, HRK-Informationsreferent. 
dev-s705	``Wer an deutschen Universitäten abgewiesen wird, wendet sich möglicherweise an eine dieser in 	Deutschland	 nicht anerkannten Hochschulen, die auch keinen anerkannten Abschluß verleihen kann'', befürchtet Werner Becker, HRK-Informationsreferent. 
dev-s706	``Ich gebe Arbeit ab und bekomme dafür mehr Freizeit'', sagte Pastor Klaus Onnasch von der Christusgemeinde in Kronshagen bei 	Kiel	. 
dev-s706	``Ich gebe Arbeit ab und bekomme dafür mehr Freizeit'', sagte Pastor Klaus Onnasch von der Christusgemeinde in 	Kronshagen	 bei Kiel. 
dev-s706	``Ich gebe Arbeit ab und bekomme dafür mehr Freizeit'', sagte Pastor 	Klaus	 Onnasch von der Christusgemeinde in Kronshagen bei Kiel. 
dev-s707	Bundespräsident 	Roman	 Herzog hat sich dafür ausgesprochen, die rund 40 000 Deutschstämmigen in der asiatischen Republik Usbekistan durch Hilfen zum Bleiben im Lande zu bewegen. 
dev-s708	``Dazu will 	Haider	 eine politische Kulturrevolution, er ist gegen die Parteien, gegen die Sozialpartner. 
dev-s709	Viel Überzeugungsarbeit mußte Küng in 	Tutzing	 nicht mehr leisten. 
dev-s709	Viel Überzeugungsarbeit mußte 	Küng	 in Tutzing nicht mehr leisten. 
dev-s710	Claus 	Peymann	 ist in blendender Verfassung und relativ guter Dinge, das jugendliche Lachen der frühen Zeit ist ihm während seines Wiener Jahrzehnts nicht vergangen. 
dev-s710		Claus	 Peymann ist in blendender Verfassung und relativ guter Dinge, das jugendliche Lachen der frühen Zeit ist ihm während seines Wiener Jahrzehnts nicht vergangen. 
dev-s712	Der US-Handelsbeauftragte 	Mickey	 Kantor äußerte sich über das bisherige Ergebnis zufrieden: 
dev-s712	Der 	US	-Handelsbeauftragte Mickey Kantor äußerte sich über das bisherige Ergebnis zufrieden: 
dev-s716	Strafrichter 	Braune	 verhängte sechs Jahre Gefängnis wegen ``planmäßiger Staatshetze'' gegen den Familienvater, obwohl die Tat verjährt war und die Schrift überhaupt nicht verbreitet, sondern zu Hause aufbewahrt wurde. 
dev-s717	Ich habe heute morgen 	Oskar	 gefragt, ob er bereit ist zu kandidieren. 
dev-s720	``Ich bin wählen gegangen, weil die jetzige Situation nicht weiter andauern kann'', meinte in der Stadt 	Ouargla	 ein anderer. 
dev-s721	Einige Blöcke mit den Köpfen von Karl Marx, Ernst Thälmann und 	August	 Bebel und etlichen anderen bekommt man heute nicht unter 300 Mark. 
dev-s721	Einige Blöcke mit den Köpfen von Karl Marx, 	Ernst	 Thälmann und August Bebel und etlichen anderen bekommt man heute nicht unter 300 Mark. 
dev-s721	Einige Blöcke mit den Köpfen von 	Karl	 Marx, Ernst Thälmann und August Bebel und etlichen anderen bekommt man heute nicht unter 300 Mark. 
dev-s723	Das Kaufinteresse habe sich auf institutionelle Investoren in der Schweiz, 	Großbritannien	 und den USA konzentriert, teilt das Institut mit. 
dev-s724	``Dafür steht die Firma Syncronys gerade, und wir werden auch die Kosten übernehmen'', so 	Poertner	. 
dev-s724	``Dafür steht die Firma 	Syncronys	 gerade, und wir werden auch die Kosten übernehmen'', so Poertner. 
dev-s725	``Das Ergebnis hat uns ermutigt'', berichtet 	Nitz	. 
dev-s726	``Doch nicht die Kinder verdienen daran, sondern Hotels, Vermittler, Bordellbetreiber'', sagt 	Felizardo	. 
dev-s729	``Wir haben alles erreicht, was wir wollten'', erklärte Japans Außenminister 	Yohei	 Kono. 
dev-s729	``Wir haben alles erreicht, was wir wollten'', erklärte 	Japans	 Außenminister Yohei Kono. 
dev-s730	Sechs Jahre nach der Wende muß 	Lech	 Walesa, der den Freiheitskampf der Polen und den friedlichen Systemwandel symbolisiert, einem ehemaligen kommunistischen Funktionär weichen. 
dev-s731	Die Gläubigen wurden aufgerufen, dem Ex-Kommunisten Kwasniewski keine Chance zu geben und für einen Sieg 	Walesas	 zu beten. 
dev-s731	Die Gläubigen wurden aufgerufen, dem Ex-Kommunisten 	Kwasniewski	 keine Chance zu geben und für einen Sieg Walesas zu beten. 
dev-s734	Die Investitionen werden 1998 erneut bei rund 800 Millionen 	Mark	 angesetzt. 
dev-s735	Die Skandinavier wollen in 	Thüringen	 100 Arbeitsplätze schaffen. 
dev-s739	``Den Beschäftigten ist es nicht weiter zuzumuten, ohne Bezahlung weiterzuarbeiten'', betonte Gesamtbetriebsratschefin 	Silke	 Striezel. 
dev-s742	Schon Siegfrieds Vater 	Ludwig	 räumte Widerstand mit bayerischem Granteln zur Seite. 
dev-s742	Schon 	Siegfrieds	 Vater Ludwig räumte Widerstand mit bayerischem Granteln zur Seite. 
dev-s743	``Überall ist unser Geschäft ein politisches'', resümiert 	Farnung	, ``und beliebig schwierig''. 
dev-s747	``Natürlich nur mit legalen Methoden'', wie 	Ellen	 Waitzis von der Hessischen Verbraucherzentrale betont. 
dev-s749	Nach Angaben der Polizei vom Montag fand der blutigste Überfall in der Ostprovinz 	Natal	 statt, wo Unbekannte am Samstag auf ein Minibus-Taxi feuerten und dabei sechs Schwarze erschossen. 
dev-s750	``Bald werden wir den Befehl erhalten, den Ring um 	Sarajewo	 zu öffnen. 
dev-s752	``In Verhandlungen muß man ausloten, bis zu welchem Punkt man gemeinsam gehen kann, um die Arbeitslosigkeit in 	Deutschland	 nun wirklich nachhaltig zu bekämpfen.'' 
dev-s753	Bosniens Präsident Alija Izetbegovic äußerte sich optimistisch über den Ausgang des 	Balkan	-Gipfels in den USA. 
dev-s753	Bosniens Präsident 	Alija	 Izetbegovic äußerte sich optimistisch über den Ausgang des Balkan-Gipfels in den USA. 
dev-s753		Bosniens	 Präsident Alija Izetbegovic äußerte sich optimistisch über den Ausgang des Balkan-Gipfels in den USA. 
dev-s754	UN-Generalsekretär Butros Butros-Ghali hat die internationale Gemeinschaft zu sofortiger Hilfe für die rund 400 000 Flüchtlinge in 	Sri	 Lanka aufgerufen. 
dev-s754	UN-Generalsekretär 	Butros	 Butros-Ghali hat die internationale Gemeinschaft zu sofortiger Hilfe für die rund 400 000 Flüchtlinge in Sri Lanka aufgerufen. 
dev-s756	Bundeskanzler 	Helmut	 Kohl erklärte, der feige Mord habe einen Mann getroffen, der durch großen Mut und vollen Einsatz seiner Persönlichkeit den Frieden im Nahen Osten erreichen wollte. 
dev-s757	Ben-Gurion und seine Außenministerin Golda Meir wurden leicht, Innenminister 	Mosche	 Schapira schwer verletzt. 
dev-s757	Ben-Gurion und seine Außenministerin 	Golda	 Meir wurden leicht, Innenminister Mosche Schapira schwer verletzt. 
dev-s757		Ben	-Gurion und seine Außenministerin Golda Meir wurden leicht, Innenminister Mosche Schapira schwer verletzt. 
dev-s761	``Die Denkschrift kommt in bildungspolitisch nicht gerade leichten Zeiten'', räumte 	Rau	 ein. 
dev-s762	``Er fiel im Kampf für den Frieden'', sagte Präsident 	Ezer	 Weizman. 
dev-s764	``Die Regierung Israels gibt mit tiefer Trauer den Tod des Ministerpräsidenten und Verteidigungsministers Yitzhak Rabin bekannt, der heute von einem Attentäter in 	Tel	 Aviv ermordet wurde'', teilte ein Regierungssprecher vor dem Krankenhaus Journalisten und ängstlich wartenden Israelis mit. 
dev-s764	``Die Regierung Israels gibt mit tiefer Trauer den Tod des Ministerpräsidenten und Verteidigungsministers 	Yitzhak	 Rabin bekannt, der heute von einem Attentäter in Tel Aviv ermordet wurde'', teilte ein Regierungssprecher vor dem Krankenhaus Journalisten und ängstlich wartenden Israelis mit. 
dev-s764	``Die Regierung 	Israels	 gibt mit tiefer Trauer den Tod des Ministerpräsidenten und Verteidigungsministers Yitzhak Rabin bekannt, der heute von einem Attentäter in Tel Aviv ermordet wurde'', teilte ein Regierungssprecher vor dem Krankenhaus Journalisten und ängstlich wartenden Israelis mit. 
dev-s772	Bundeskanzler Helmut Kohl (CDU) kündigte im Bundestag an, er wolle das vom IG-Metall-Vorsitzenden 	Klaus	 Zwickel angebotene ``Bündnis für Arbeit'' prüfen. 
dev-s772	Bundeskanzler Helmut Kohl (CDU) kündigte im Bundestag an, er wolle das vom IG-	Metall	-Vorsitzenden Klaus Zwickel angebotene ``Bündnis für Arbeit'' prüfen. 
dev-s772	Bundeskanzler Helmut Kohl (CDU) kündigte im Bundestag an, er wolle das vom 	IG	-Metall-Vorsitzenden Klaus Zwickel angebotene ``Bündnis für Arbeit'' prüfen. 
dev-s772	Bundeskanzler Helmut Kohl (	CDU	) kündigte im Bundestag an, er wolle das vom IG-Metall-Vorsitzenden Klaus Zwickel angebotene ``Bündnis für Arbeit'' prüfen. 
dev-s772	Bundeskanzler 	Helmut	 Kohl (CDU) kündigte im Bundestag an, er wolle das vom IG-Metall-Vorsitzenden Klaus Zwickel angebotene ``Bündnis für Arbeit'' prüfen. 
dev-s773	Wie 	Kohl	 sei er der Ansicht, daß es zu einem vereinten Europa keine Alternative gebe. 
dev-s777	Es gibt keine Bedrohung mehr -- wo ist dann die Rechtfertigung für eine Wehrpflicht'',? fragte der Vorsitzende der Zentralstelle, Ulrich Finckh, am Montag in 	Bremen	. 
dev-s777	Es gibt keine Bedrohung mehr -- wo ist dann die Rechtfertigung für eine Wehrpflicht'',? fragte der Vorsitzende der Zentralstelle, 	Ulrich	 Finckh, am Montag in Bremen. 
dev-s780	Die New Yorker Börse reagierte bislang nur mit leichten Kursverlusten auf den Bugdetkonflikt in 	Washington	. 
dev-s781	``Wenn Rußland den Vertrag vollständig erfüllt, dann wird das Sicherheitssystem des Landes, besonders an den südlichen und nördlichen Flanken vollständig zerstört'', sagte Verteidigungsminister 	Pawel	 Gratschow. 
dev-s781	``Wenn 	Rußland	 den Vertrag vollständig erfüllt, dann wird das Sicherheitssystem des Landes, besonders an den südlichen und nördlichen Flanken vollständig zerstört'', sagte Verteidigungsminister Pawel Gratschow. 
dev-s785	Generalinspekteur 	Naumann	 wurde erstmals konkret: 
dev-s786	CSU-Generalsekretär Bernd Protzner betonte, der Machtwechsel an der 	SPD	-Spitze stelle ``einen personellen und inhaltlichen Linksruck dar''. 
dev-s786	CSU-Generalsekretär 	Bernd	 Protzner betonte, der Machtwechsel an der SPD-Spitze stelle ``einen personellen und inhaltlichen Linksruck dar''. 
dev-s787	Ausgerechnet Lennons zänkische Witwe Yoko Ono, die jahrelang mit 	Paul	 McCartney über Copyrights gestritten hatte, überreichte den ``Fab Three'' das unvollständige Archivmaterial, das bereits auf illegalen Raubpressungen unter Fans kursierte. 
dev-s787	Ausgerechnet Lennons zänkische Witwe 	Yoko	 Ono, die jahrelang mit Paul McCartney über Copyrights gestritten hatte, überreichte den ``Fab Three'' das unvollständige Archivmaterial, das bereits auf illegalen Raubpressungen unter Fans kursierte. 
dev-s787	Ausgerechnet 	Lennons	 zänkische Witwe Yoko Ono, die jahrelang mit Paul McCartney über Copyrights gestritten hatte, überreichte den ``Fab Three'' das unvollständige Archivmaterial, das bereits auf illegalen Raubpressungen unter Fans kursierte. 
dev-s790	``Dazu besteht keine wirtschaftliche Notwendigkeit, man will in 	Stuttgart	 die AEG einfach nicht mehr.'' 
dev-s791	Brandenburgs Ministerpräsident Manfred Stolpe (SPD) forderte Lafontaine auf, möglichst bald in 	Ostdeutschland	 aufzutreten. 
dev-s791	Brandenburgs Ministerpräsident Manfred Stolpe (SPD) forderte 	Lafontaine	 auf, möglichst bald in Ostdeutschland aufzutreten. 
dev-s791	Brandenburgs Ministerpräsident Manfred Stolpe (	SPD	) forderte Lafontaine auf, möglichst bald in Ostdeutschland aufzutreten. 
dev-s791	Brandenburgs Ministerpräsident 	Manfred	 Stolpe (SPD) forderte Lafontaine auf, möglichst bald in Ostdeutschland aufzutreten. 
dev-s791		Brandenburgs	 Ministerpräsident Manfred Stolpe (SPD) forderte Lafontaine auf, möglichst bald in Ostdeutschland aufzutreten. 
dev-s795	Die Demonstration sollte nach Darstellung der Veranstalter für eine friedliche Lösung des Konflikts in 	Kurdistan	 werben. 
dev-s796	Auf Dole entfielen am Samstag 33 Prozent der Stimmen, mit 26 Prozent kam der texanische Senator Phil Gramm auf den zweiten Platz, 23 Prozent erhielt 	Lamar	 Alexander. 
dev-s796	Auf Dole entfielen am Samstag 33 Prozent der Stimmen, mit 26 Prozent kam der texanische Senator 	Phil	 Gramm auf den zweiten Platz, 23 Prozent erhielt Lamar Alexander. 
dev-s796	Auf 	Dole	 entfielen am Samstag 33 Prozent der Stimmen, mit 26 Prozent kam der texanische Senator Phil Gramm auf den zweiten Platz, 23 Prozent erhielt Lamar Alexander. 
dev-s797	Die Gruppe wird für einen Großteil der Gewalttaten verantwortlich gemacht, die seit dreieinhalb Jahren in 	Ägypten	 verübt worden sind. 
train-s4	Ich bin seit längerer Zeit zur Behandlung verschiedenster "Leiden" in der Physiotherapieraxis "	Gaby	 Montag" im Vital Center und kann ausschließlich Positives berichten! 
train-s17	Unser Fazit: Nie wieder 	Café	 Bleich! 
train-s18	War das erste Mal mit Ueberzeugung im Waschsalon, die ich vorher immer gemieden habe, da ein anderer Laden in 	Bremerhaven	 nie wirklich einladend wirkte. 
train-s28	Hier gibt es die beste Wurst in ganz 	Thüringen	!! 
train-s29	Wir sind seit vielen Jahren Mandanten der Rechtsanwälte 	Ruland	 und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt. 
train-s39	Die Arbeiten von 	Team	 VK sind nicht nur schön, sondern sind auch effektiv und führen zum Erfolg. 
train-s43	War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss, dass der neu eröffnete Laden 	Blackboxxx	 für Männer der mit Abstand beste Laden ist. 
train-s43	War jetzt in fast allen Tabledance Clubs in 	München	 wobei ich sagen muss, dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist. 
train-s45	Die 	Stuttgarter	 Volksbank Homepage ist übersichtlich und vom Design erste Klasse. 
train-s59	Das Bild auf 	Google	 Maps ist veraltet! 
train-s73	Und dann bin ich auf Empfehlung einer sehr guten Freundin nach Dortmund gefahren um mich dort von Herrn 	Knauff	 behandeln zu lassen und kann nur sagen, dass das die beste Entscheidung gewesen ist. 
train-s73	Und dann bin ich auf Empfehlung einer sehr guten Freundin nach 	Dortmund	 gefahren um mich dort von Herrn Knauff behandeln zu lassen und kann nur sagen, dass das die beste Entscheidung gewesen ist. 
train-s83	Der mechanische Trackpad - Klick meines 	Macbook	 Pro funktionierte eines Tages nicht mehr. 
train-s95	Im italienischen Restaurant 	Pinnocchio	 kann man nicht nur wunderbar Pizza essen, auch alle anderen Gerichte schmecken hervorragend. 
train-s106	Nach weiteren 30 Minuten Wartezeit durfte ich nun endlich zu Frau Dr. 	Schüler	 und meine Frage äußern. 
train-s119	Auch der Ort 	Koserow	 war uns sehr sympathisch. 
train-s120	Wir waren im September mit einer 3 Generationenfamilie in der Wohnung 	Storchennest	. 
train-s135	Also ich kann 	Häusler	 hier nur empfehlen 
train-s140	Allen bekannt, die nicht nur das tragen was andere kaufen, ist allen voran 	NOA	 NOA. 
train-s165	Habe dann 	New	 China entdeckt. 
train-s167	Als ich endlich da war, viel mir das Schild 13 Jahre "New 	China	" auf. 
train-s178	Bevorzugt ausgeschenkt und verkauft werden hier im Weinkost Weine aus Deutschland, Schweiz und 	Österreich	. 
train-s178	Bevorzugt ausgeschenkt und verkauft werden hier im Weinkost Weine aus Deutschland, 	Schweiz	 und Österreich. 
